program,threads,ops_per_thread,trial,time_us,raw_output
./counter_mutex,1,50000,1,515,threads=1 iters_per_thread=50000 final=50000 time_us=515 | 
./counter_mutex,1,50000,2,509,threads=1 iters_per_thread=50000 final=50000 time_us=509 | 
./counter_mutex,1,50000,3,523,threads=1 iters_per_thread=50000 final=50000 time_us=523 | 
./counter_mutex,2,50000,1,1750,threads=2 iters_per_thread=50000 final=100000 time_us=1750 | 
./counter_mutex,2,50000,2,1741,threads=2 iters_per_thread=50000 final=100000 time_us=1741 | 
./counter_mutex,2,50000,3,1694,threads=2 iters_per_thread=50000 final=100000 time_us=1694 | 
./counter_mutex,4,50000,1,5349,threads=4 iters_per_thread=50000 final=200000 time_us=5349 | 
./counter_mutex,4,50000,2,5847,threads=4 iters_per_thread=50000 final=200000 time_us=5847 | 
./counter_mutex,4,50000,3,7504,threads=4 iters_per_thread=50000 final=200000 time_us=7504 | 
./counter_mutex,8,50000,1,13955,threads=8 iters_per_thread=50000 final=400000 time_us=13955 | 
./counter_mutex,8,50000,2,13539,threads=8 iters_per_thread=50000 final=400000 time_us=13539 | 
./counter_mutex,8,50000,3,13270,threads=8 iters_per_thread=50000 final=400000 time_us=13270 | 
./approx_counter,1,50000,1,119,threads=1 iters_per_thread=50000 threshold=1000 global=50000 time_us=119 | 
./approx_counter,1,50000,2,54,threads=1 iters_per_thread=50000 threshold=1000 global=50000 time_us=54 | 
./approx_counter,1,50000,3,54,threads=1 iters_per_thread=50000 threshold=1000 global=50000 time_us=54 | 
./approx_counter,2,50000,1,65,threads=2 iters_per_thread=50000 threshold=1000 global=100000 time_us=65 | 
./approx_counter,2,50000,2,65,threads=2 iters_per_thread=50000 threshold=1000 global=100000 time_us=65 | 
./approx_counter,2,50000,3,65,threads=2 iters_per_thread=50000 threshold=1000 global=100000 time_us=65 | 
./approx_counter,4,50000,1,115,threads=4 iters_per_thread=50000 threshold=1000 global=200000 time_us=115 | 
./approx_counter,4,50000,2,81,threads=4 iters_per_thread=50000 threshold=1000 global=200000 time_us=81 | 
./approx_counter,4,50000,3,83,threads=4 iters_per_thread=50000 threshold=1000 global=200000 time_us=83 | 
