program,threads,n,median_us,mean_us,stdev_us
./approx_counter,1,3,54,75,30
./approx_counter,2,3,65,65,0
./approx_counter,4,3,83,93,15
./approx_counter,8,3,206,209,48
./counter_mutex,1,3,515,515,5
./counter_mutex,2,3,1741,1728,24
./counter_mutex,4,3,5847,6233,921
./counter_mutex,8,3,13539,13588,281
./hash_buckets,1,3,1626,1781,280
./hash_buckets,2,3,2349,2257,262
./hash_buckets,4,3,2727,3125,573
./hash_buckets,8,3,5770,5657,250
./hash_single,1,3,1413,1692,441
./hash_single,2,3,6357,6316,210
./hash_single,4,3,18979,19041,333
./hash_single,8,3,64932,64788,662
./list_hh,1,3,1619929,1631251,38111
./list_hh,2,3,3029998,3087194,82002
./list_hh,4,3,5777982,5765497,119674
./list_hh,8,3,19787367,19961197,353110
